ID,username,InTime,device_id,group_id,employee_id
7074,ja,2024-01-03 06:35:26+00:00,DmcGate10,Group object (2),test_dmc91
7075,ba,2024-01-03 05:34:02+00:00,DmcGate10,Group object (2),test_dmc21
7076,rezvi,2024-01-03 05:01:19+00:00,DmcGate10,Group object (2),1
7077,da,2024-01-03 04:47:02+00:00,DmcGate10,Group object (2),test_dmc41
7078,ea,2024-01-03 04:45:04+00:00,DmcGate10,Group object (2),test_dmc51
7079,ja,2024-01-03 04:36:41+00:00,DmcGate10,Group object (2),test_dmc91
7080,da,2024-01-03 03:14:58+00:00,DmcGate10,Group object (2),test_dmc41
7081,ja,2024-01-03 02:10:52+00:00,DmcGate10,Group object (2),test_dmc91
7082,ja,2024-01-02 13:26:25+00:00,DmcGate10,Group object (2),test_dmc91
7083,ja,2024-01-02 12:33:21+00:00,DmcGate10,Group object (2),test_dmc91
7084,aa,2024-01-02 12:13:30+00:00,DmcGate10,Group object (2),test_dmc11
7085,aa,2024-01-02 12:13:30+00:00,DmcGate10,Group object (2),test_dmc11
7086,rezvi,2024-01-02 12:00:36+00:00,DmcGate10,Group object (2),1
7087,ja,2024-01-02 11:50:22+00:00,DmcGate10,Group object (2),test_dmc91
7088,aa,2024-01-02 11:47:56+00:00,DmcGate10,Group object (2),test_dmc11
7089,ba,2024-01-02 11:42:51+00:00,DmcGate10,Group object (2),test_dmc21
7090,Miraz,2024-01-02 11:42:10+00:00,DmcGate10,Group object (23),DMC2
7091,ea,2024-01-02 10:41:38+00:00,DmcGate10,Group object (2),test_dmc51
7092,Miraz,2024-01-02 10:41:35+00:00,DmcGate10,Group object (23),DMC2
7093,Miraz,2024-01-02 10:41:32+00:00,DmcGate10,Group object (23),DMC2
7094,ea,2024-01-02 10:35:55+00:00,DmcGate10,Group object (2),test_dmc51
7095,ea,2024-01-02 10:35:52+00:00,DmcGate10,Group object (2),test_dmc51
7096,ea,2024-01-02 10:35:49+00:00,DmcGate10,Group object (2),test_dmc51
7097,adsfgsd,2024-01-02 10:32:57+00:00,DmcGate10,Group object (2),DMC200
7098,adsfgsd,2024-01-02 10:25:27+00:00,DmcGate10,Group object (2),DMC200
7099,adsfgsd,2024-01-02 10:25:24+00:00,DmcGate10,Group object (2),DMC200
7100,aa,2024-01-02 10:17:47+00:00,DmcGate10,Group object (2),test_dmc11
7101,ea,2024-01-02 10:03:28+00:00,DmcGate10,Group object (2),test_dmc51
7102,ea,2024-01-02 09:23:54+00:00,DmcGate10,Group object (2),test_dmc51
7103,ea,2024-01-02 08:40:17+00:00,DmcGate10,Group object (2),test_dmc51
7104,ea,2024-01-02 08:36:36+00:00,DmcGate10,Group object (2),test_dmc51
7105,ea,2024-01-02 08:07:49+00:00,DmcGate10,Group object (2),test_dmc51
7106,aa,2024-01-02 08:07:20+00:00,DmcGate10,Group object (2),test_dmc11
7107,adsfgsd,2024-01-02 08:07:00+00:00,DmcGate10,Group object (2),DMC200
7108,ca,2024-01-02 08:06:15+00:00,DmcGate10,Group object (2),test_dmc31
7109,ea,2024-01-02 07:43:07+00:00,DmcGate10,Group object (2),test_dmc51
7110,rezvi,2024-01-02 07:42:23+00:00,DmcGate10,Group object (2),1
7111,rezvi,2024-01-02 07:30:40+00:00,DmcGate10,Group object (2),1
7112,ca,2024-01-02 07:14:25+00:00,DmcGate10,Group object (2),test_dmc31
7113,ea,2024-01-02 07:10:09+00:00,DmcGate10,Group object (2),test_dmc51
7114,aa,2024-01-02 07:09:20+00:00,DmcGate10,Group object (2),test_dmc11
7115,aa,2024-01-02 07:01:55+00:00,DmcGate10,Group object (2),test_dmc11
7116,ea,2024-01-02 06:18:28+00:00,DmcGate10,Group object (2),test_dmc51
7117,ea,2024-01-02 05:48:34+00:00,DmcGate10,Group object (2),test_dmc51
7118,da,2024-01-02 05:44:52+00:00,DmcGate10,Group object (2),test_dmc41
7119,ea,2024-01-02 05:42:47+00:00,DmcGate10,Group object (2),test_dmc51
7120,rezvi,2024-01-02 04:54:26+00:00,DmcGate10,Group object (2),1
7121,ca,2024-01-02 04:51:40+00:00,DmcGate10,Group object (2),test_dmc31
7122,rezvi,2024-01-02 03:13:14+00:00,DmcGate10,Group object (2),1
7123,rezvi,2024-01-02 03:12:10+00:00,DmcGate10,Group object (2),1
7124,da,2024-01-02 03:11:54+00:00,DmcGate10,Group object (2),test_dmc41
7125,rezvi,2024-01-02 03:11:39+00:00,DmcGate10,Group object (2),1
7126,rezvi,2024-01-02 03:11:32+00:00,DmcGate10,Group object (2),1
7127,rezvi,2024-01-02 03:11:25+00:00,DmcGate10,Group object (2),1
7128,ja,2024-01-01 14:36:53+00:00,DmcGate10,Group object (2),test_dmc91
7129,rezvi,2024-01-01 12:15:09+00:00,DmcGate10,Group object (2),1
7130,da,2024-01-01 12:14:00+00:00,DmcGate10,Group object (2),test_dmc41
7131,rezvi,2024-01-01 12:12:06+00:00,DmcGate10,Group object (2),1
7132,rezvi,2024-01-01 12:08:07+00:00,DmcGate10,Group object (2),1
7133,rezvi,2024-01-01 12:08:06+00:00,DmcGate10,Group object (2),1
7134,ca,2024-01-01 12:00:39+00:00,DmcGate10,Group object (2),test_dmc31
7135,aa,2024-01-01 11:59:57+00:00,DmcGate10,Group object (2),test_dmc11
7136,adsfgsd,2024-01-01 11:54:19+00:00,DmcGate10,Group object (2),DMC200
7137,adsfgsd,2024-01-01 11:54:19+00:00,DmcGate10,Group object (2),DMC200
7138,rezvi,2024-01-01 11:53:48+00:00,DmcGate10,Group object (2),1
7139,rezvi,2024-01-01 11:53:45+00:00,DmcGate10,Group object (2),1
7140,adsfgsd,2024-01-01 11:53:09+00:00,DmcGate10,Group object (2),DMC200
7141,adsfgsd,2024-01-01 11:53:06+00:00,DmcGate10,Group object (2),DMC200
7142,adsfgsd,2024-01-01 11:53:02+00:00,DmcGate10,Group object (2),DMC200
7143,ea,2024-01-01 11:52:09+00:00,DmcGate10,Group object (2),test_dmc51
7144,ca,2024-01-01 11:50:36+00:00,DmcGate10,Group object (2),test_dmc31
7145,ba,2024-01-01 11:49:03+00:00,DmcGate10,Group object (2),test_dmc21
7146,adsfgsd,2024-01-01 11:48:45+00:00,DmcGate10,Group object (2),DMC200
7147,rezvi,2024-01-01 11:20:10+00:00,DmcGate10,Group object (2),1
7148,Miraz,2024-01-01 11:20:08+00:00,DmcGate10,Group object (23),DMC2
7149,Miraz,2024-01-01 11:19:58+00:00,DmcGate10,Group object (23),DMC2
7150,Miraz,2024-01-01 11:19:55+00:00,DmcGate10,Group object (23),DMC2
7151,Miraz,2024-01-01 11:19:52+00:00,DmcGate10,Group object (23),DMC2
7152,aa,2024-01-01 11:11:23+00:00,DmcGate10,Group object (2),test_dmc11
7153,ca,2024-01-01 11:00:53+00:00,DmcGate10,Group object (2),test_dmc31
7154,ca,2024-01-01 10:58:56+00:00,DmcGate10,Group object (2),test_dmc31
7155,rezvi,2024-01-01 10:55:22+00:00,DmcGate10,Group object (2),1
7156,rezvi,2024-01-01 10:54:55+00:00,DmcGate10,Group object (2),1
7157,rezvi,2024-01-01 10:54:49+00:00,DmcGate10,Group object (2),1
7158,rezvi,2024-01-01 10:54:46+00:00,DmcGate10,Group object (2),1
7159,rezvi,2024-01-01 10:54:26+00:00,DmcGate10,Group object (2),1
7160,rezvi,2024-01-01 10:54:13+00:00,DmcGate10,Group object (2),1
7161,rezvi,2024-01-01 10:54:03+00:00,DmcGate10,Group object (2),1
7162,rezvi,2024-01-01 10:53:57+00:00,DmcGate10,Group object (2),1
7163,rezvi,2024-01-01 10:53:48+00:00,DmcGate10,Group object (2),1
7164,rezvi,2024-01-01 10:53:45+00:00,DmcGate10,Group object (2),1
7165,ba,2024-01-01 10:50:00+00:00,DmcGate10,Group object (2),test_dmc21
7166,ba,2024-01-01 10:44:38+00:00,DmcGate10,Group object (2),test_dmc21
7167,ea,2024-01-01 10:23:58+00:00,DmcGate10,Group object (2),test_dmc51
7168,ea,2024-01-01 10:23:55+00:00,DmcGate10,Group object (2),test_dmc51
7169,ea,2024-01-01 10:23:51+00:00,DmcGate10,Group object (2),test_dmc51
7170,ea,2024-01-01 10:16:25+00:00,DmcGate10,Group object (2),test_dmc51
7171,aa,2024-01-01 09:55:06+00:00,DmcGate10,Group object (2),test_dmc11
7172,da,2024-01-01 09:34:25+00:00,DmcGate10,Group object (2),test_dmc41
7173,Moshiur Rahman Shondhi,2024-01-01 09:23:09+00:00,DmcGate10,Group object (2),DMC24
7174,ea,2024-01-01 09:19:11+00:00,DmcGate10,Group object (2),test_dmc51
7175,da,2024-01-01 09:17:51+00:00,DmcGate10,Group object (2),test_dmc41
7176,ea,2024-01-01 09:17:09+00:00,DmcGate10,Group object (2),test_dmc51
7177,ea,2024-01-01 09:17:04+00:00,DmcGate10,Group object (2),test_dmc51
7178,rezvi,2024-01-01 09:15:33+00:00,DmcGate10,Group object (2),1
7179,ja,2024-01-01 09:10:39+00:00,DmcGate10,Group object (2),test_dmc91
7180,ea,2024-01-01 08:16:04+00:00,DmcGate10,Group object (2),test_dmc51
7181,ea,2024-01-01 07:56:44+00:00,DmcGate10,Group object (2),test_dmc51
7182,ea,2024-01-01 07:51:28+00:00,DmcGate10,Group object (2),test_dmc51
7183,adsfgsd,2024-01-01 07:41:17+00:00,DmcGate10,Group object (2),DMC200
7184,rezvi,2024-01-01 07:39:09+00:00,DmcGate10,Group object (2),1
7185,adsfgsd,2024-01-01 07:33:44+00:00,DmcGate10,Group object (2),DMC200
7186,adsfgsd,2024-01-01 07:28:03+00:00,DmcGate10,Group object (2),DMC200
7187,ea,2024-01-01 07:06:30+00:00,DmcGate10,Group object (2),test_dmc51
7188,aa,2024-01-01 07:02:45+00:00,DmcGate10,Group object (2),test_dmc11
7189,ea,2024-01-01 05:35:37+00:00,DmcGate10,Group object (2),test_dmc51
7190,ea,2024-01-01 05:05:12+00:00,DmcGate10,Group object (2),test_dmc51
7191,ea,2024-01-01 05:05:09+00:00,DmcGate10,Group object (2),test_dmc51
7192,ea,2024-01-01 05:05:06+00:00,DmcGate10,Group object (2),test_dmc51
7193,ea,2024-01-01 05:05:02+00:00,DmcGate10,Group object (2),test_dmc51
7194,ea,2024-01-01 05:04:59+00:00,DmcGate10,Group object (2),test_dmc51
7195,ea,2024-01-01 05:04:56+00:00,DmcGate10,Group object (2),test_dmc51
7196,adsfgsd,2024-01-01 04:59:37+00:00,DmcGate10,Group object (2),DMC200
7197,ea,2024-01-01 04:30:40+00:00,DmcGate10,Group object (2),test_dmc51
7198,adsfgsd,2024-01-01 04:20:18+00:00,DmcGate10,Group object (2),DMC200
7199,adsfgsd,2024-01-01 04:20:17+00:00,DmcGate10,Group object (2),DMC200
7200,adsfgsd,2024-01-01 04:18:41+00:00,DmcGate10,Group object (2),DMC200
7201,ea,2024-01-01 04:03:16+00:00,DmcGate10,Group object (2),test_dmc51
7202,ea,2024-01-01 04:00:22+00:00,DmcGate10,Group object (2),test_dmc51
7203,adsfgsd,2024-01-01 03:49:07+00:00,DmcGate10,Group object (2),DMC200
7204,rezvi,2024-01-01 03:13:26+00:00,DmcGate10,Group object (2),1
7205,rezvi,2024-01-01 03:13:26+00:00,DmcGate10,Group object (2),1
7206,ea,2024-01-01 03:08:12+00:00,DmcGate10,Group object (2),test_dmc51
7207,ja,2024-01-01 02:50:55+00:00,DmcGate10,Group object (2),test_dmc91
7208,ja,2024-01-01 02:50:51+00:00,DmcGate10,Group object (2),test_dmc91
7209,ja,2023-12-31 16:23:05+00:00,DmcGate10,Group object (2),test_dmc91
7210,ja,2023-12-31 16:23:01+00:00,DmcGate10,Group object (2),test_dmc91
7211,ja,2023-12-31 14:47:14+00:00,DmcGate10,Group object (2),test_dmc91
7212,ja,2023-12-31 14:47:05+00:00,DmcGate10,Group object (2),test_dmc91
7213,ja,2023-12-31 13:52:16+00:00,DmcGate10,Group object (2),test_dmc91
7214,ja,2023-12-31 13:16:43+00:00,DmcGate10,Group object (2),test_dmc91
7215,Miraz,2023-12-31 13:06:52+00:00,DmcGate10,Group object (23),DMC2
7216,Miraz,2023-12-31 13:06:43+00:00,DmcGate10,Group object (23),DMC2
7217,Miraz,2023-12-31 13:06:39+00:00,DmcGate10,Group object (23),DMC2
7218,ja,2023-12-31 12:30:36+00:00,DmcGate10,Group object (2),test_dmc91
