r_clsf_record_id,CardName,InTime,RecNo,RoomNumber,Status,Type,image_url,device_id,employee_id
4040,adsfgsd,2024-01-01 03:49:07+00:00,747,,1,Entry,/SnapShotFilePath/2024-01-01/11/49/DMC200_99_100_20240101114907586.jpg,DmcGate10,DMC200
4041,ea,2024-01-01 04:00:22+00:00,751,,1,Entry,/SnapShotFilePath/2024-01-01/12/00/test_dmc51_99_100_20240101120022699.jpg,DmcGate10,test_dmc51
4042,ea,2024-01-01 04:03:16+00:00,752,,1,Entry,/SnapShotFilePath/2024-01-01/12/03/test_dmc51_99_100_20240101120316356.jpg,DmcGate10,test_dmc51
4043,adsfgsd,2024-01-01 04:18:41+00:00,753,,1,Entry,/SnapShotFilePath/2024-01-01/12/18/DMC200_93_100_20240101121841763.jpg,DmcGate10,DMC200
4044,adsfgsd,2024-01-01 04:20:17+00:00,754,,1,Entry,/SnapShotFilePath/2024-01-01/12/20/DMC200_98_100_20240101122017912.jpg,DmcGate10,DMC200
4045,adsfgsd,2024-01-01 04:20:18+00:00,755,,1,Entry,/SnapShotFilePath/2024-01-01/12/20/DMC200_95_100_20240101122018219.jpg,DmcGate10,DMC200
4046,ea,2024-01-01 04:30:40+00:00,757,,1,Entry,/SnapShotFilePath/2024-01-01/12/30/test_dmc51_99_100_20240101123040806.jpg,DmcGate10,test_dmc51
4047,adsfgsd,2024-01-01 04:59:37+00:00,759,,1,Entry,/SnapShotFilePath/2024-01-01/12/59/DMC200_95_100_20240101125937060.jpg,DmcGate10,DMC200
4048,ea,2024-01-01 05:04:56+00:00,760,,1,Entry,/SnapShotFilePath/2024-01-01/13/04/test_dmc51_99_100_20240101130456933.jpg,DmcGate10,test_dmc51
4049,ea,2024-01-01 05:04:59+00:00,761,,1,Entry,/SnapShotFilePath/2024-01-01/13/04/test_dmc51_99_100_20240101130459805.jpg,DmcGate10,test_dmc51
4050,ea,2024-01-01 05:05:02+00:00,762,,1,Entry,/SnapShotFilePath/2024-01-01/13/05/test_dmc51_99_100_20240101130502021.jpg,DmcGate10,test_dmc51
4051,ea,2024-01-01 05:05:06+00:00,763,,1,Entry,/SnapShotFilePath/2024-01-01/13/05/test_dmc51_99_100_20240101130506062.jpg,DmcGate10,test_dmc51
4052,ea,2024-01-01 05:05:09+00:00,764,,1,Entry,/SnapShotFilePath/2024-01-01/13/05/test_dmc51_99_100_20240101130509178.jpg,DmcGate10,test_dmc51
4053,ea,2024-01-01 05:05:12+00:00,765,,1,Entry,/SnapShotFilePath/2024-01-01/13/05/test_dmc51_99_100_20240101130512322.jpg,DmcGate10,test_dmc51
4054,rezvi,2023-12-21 09:59:29+00:00,15,,1,Entry,/SnapShotFilePath/2023-12-21/17/59/1_98_100_20231221175929806.jpg,DmcGate10,1
4055,rezvi,2023-12-21 10:03:46+00:00,16,,1,Entry,/SnapShotFilePath/2023-12-21/18/03/1_99_100_20231221180346648.jpg,DmcGate10,1
4056,rezvi,2023-12-21 10:04:08+00:00,17,,1,Entry,/SnapShotFilePath/2023-12-21/18/04/1_99_100_20231221180408049.jpg,DmcGate10,1
4057,rezvi,2023-12-21 10:07:29+00:00,28,,1,Entry,/SnapShotFilePath/2023-12-21/18/07/1_99_100_20231221180729977.jpg,DmcGate10,1
4058,rezvi,2023-12-21 12:19:13+00:00,43,,1,Entry,/SnapShotFilePath/2023-12-21/20/19/1_99_100_20231221201913992.jpg,DmcGate10,1
4059,rezvi,2023-12-21 12:19:29+00:00,45,,1,Entry,/SnapShotFilePath/2023-12-21/20/19/1_99_100_20231221201929900.jpg,DmcGate10,1
4060,rezvi,2023-12-24 03:16:42+00:00,153,,1,Entry,/SnapShotFilePath/2023-12-24/11/16/1_99_100_20231224111642417.jpg,DmcGate10,1
4061,rezvi,2023-12-24 03:18:21+00:00,155,,1,Entry,/SnapShotFilePath/2023-12-24/11/18/1_86_100_20231224111821913.jpg,DmcGate10,1
4062,rezvi,2023-12-24 03:18:29+00:00,156,,1,Entry,/SnapShotFilePath/2023-12-24/11/18/1_99_100_20231224111829422.jpg,DmcGate10,1
4063,rezvi,2023-12-24 03:22:56+00:00,157,,1,Entry,/SnapShotFilePath/2023-12-24/11/22/1_99_100_20231224112256053.jpg,DmcGate10,1
4064,rezvi,2023-12-24 03:23:00+00:00,159,,1,Entry,/SnapShotFilePath/2023-12-24/11/23/1_99_100_20231224112300677.jpg,DmcGate10,1
4065,rezvi,2023-12-24 03:23:03+00:00,160,,1,Entry,/SnapShotFilePath/2023-12-24/11/23/1_99_100_20231224112303786.jpg,DmcGate10,1
4066,rezvi,2023-12-24 03:52:29+00:00,161,,1,Entry,/SnapShotFilePath/2023-12-24/11/52/1_99_100_20231224115229719.jpg,DmcGate10,1
4067,rezvi,2023-12-24 03:54:03+00:00,163,,1,Entry,/SnapShotFilePath/2023-12-24/11/54/1_98_100_20231224115403550.jpg,DmcGate10,1
4068,rezvi,2023-12-24 04:33:40+00:00,169,,1,Entry,/SnapShotFilePath/2023-12-24/12/33/1_99_100_20231224123340871.jpg,DmcGate10,1
4069,rezvi,2023-12-24 04:36:59+00:00,170,,1,Entry,/SnapShotFilePath/2023-12-24/12/36/1_98_100_20231224123659963.jpg,DmcGate10,1
4070,rezvi,2023-12-24 04:39:16+00:00,171,,1,Entry,/SnapShotFilePath/2023-12-24/12/39/1_99_100_20231224123916810.jpg,DmcGate10,1
