ID,username,InTime,device_id,group_id,employee_id
7375,aa,2024-01-03 07:17:09+00:00,DmcGate10,Group object (2),test_dmc11
7376,rezvi,2024-01-03 06:52:03+00:00,DmcGate10,Group object (2),1
7377,rezvi,2024-01-03 06:42:26+00:00,DmcGate10,Group object (2),1
7378,ja,2024-01-03 06:35:26+00:00,DmcGate10,Group object (2),test_dmc91
7379,ba,2024-01-03 05:34:02+00:00,DmcGate10,Group object (2),test_dmc21
7380,rezvi,2024-01-03 05:01:19+00:00,DmcGate10,Group object (2),1
7381,da,2024-01-03 04:47:02+00:00,DmcGate10,Group object (2),test_dmc41
7382,ea,2024-01-03 04:45:04+00:00,DmcGate10,Group object (2),test_dmc51
7383,ja,2024-01-03 04:36:41+00:00,DmcGate10,Group object (2),test_dmc91
7384,da,2024-01-03 03:14:58+00:00,DmcGate10,Group object (2),test_dmc41
7385,ja,2024-01-03 02:10:52+00:00,DmcGate10,Group object (2),test_dmc91
7386,ja,2024-01-02 13:26:25+00:00,DmcGate10,Group object (2),test_dmc91
7387,ja,2024-01-02 12:33:21+00:00,DmcGate10,Group object (2),test_dmc91
7388,aa,2024-01-02 12:13:30+00:00,DmcGate10,Group object (2),test_dmc11
7389,aa,2024-01-02 12:13:30+00:00,DmcGate10,Group object (2),test_dmc11
7390,rezvi,2024-01-02 12:00:36+00:00,DmcGate10,Group object (2),1
7391,ja,2024-01-02 11:50:22+00:00,DmcGate10,Group object (2),test_dmc91
7392,aa,2024-01-02 11:47:56+00:00,DmcGate10,Group object (2),test_dmc11
7393,ba,2024-01-02 11:42:51+00:00,DmcGate10,Group object (2),test_dmc21
7394,Miraz,2024-01-02 11:42:10+00:00,DmcGate10,Group object (23),DMC2
7395,ea,2024-01-02 10:41:38+00:00,DmcGate10,Group object (2),test_dmc51
7396,Miraz,2024-01-02 10:41:35+00:00,DmcGate10,Group object (23),DMC2
7397,Miraz,2024-01-02 10:41:32+00:00,DmcGate10,Group object (23),DMC2
7398,ea,2024-01-02 10:35:55+00:00,DmcGate10,Group object (2),test_dmc51
7399,ea,2024-01-02 10:35:52+00:00,DmcGate10,Group object (2),test_dmc51
7400,ea,2024-01-02 10:35:49+00:00,DmcGate10,Group object (2),test_dmc51
7401,adsfgsd,2024-01-02 10:32:57+00:00,DmcGate10,Group object (2),DMC200
7402,adsfgsd,2024-01-02 10:25:27+00:00,DmcGate10,Group object (2),DMC200
7403,adsfgsd,2024-01-02 10:25:24+00:00,DmcGate10,Group object (2),DMC200
7404,aa,2024-01-02 10:17:47+00:00,DmcGate10,Group object (2),test_dmc11
7405,ea,2024-01-02 10:03:28+00:00,DmcGate10,Group object (2),test_dmc51
7406,ea,2024-01-02 09:23:54+00:00,DmcGate10,Group object (2),test_dmc51
7407,ea,2024-01-02 08:40:17+00:00,DmcGate10,Group object (2),test_dmc51
7408,ea,2024-01-02 08:36:36+00:00,DmcGate10,Group object (2),test_dmc51
7409,ea,2024-01-02 08:07:49+00:00,DmcGate10,Group object (2),test_dmc51
7410,aa,2024-01-02 08:07:20+00:00,DmcGate10,Group object (2),test_dmc11
7411,adsfgsd,2024-01-02 08:07:00+00:00,DmcGate10,Group object (2),DMC200
7412,ca,2024-01-02 08:06:15+00:00,DmcGate10,Group object (2),test_dmc31
7413,ea,2024-01-02 07:43:07+00:00,DmcGate10,Group object (2),test_dmc51
7414,rezvi,2024-01-02 07:42:23+00:00,DmcGate10,Group object (2),1
7415,rezvi,2024-01-02 07:30:40+00:00,DmcGate10,Group object (2),1
7416,ca,2024-01-02 07:14:25+00:00,DmcGate10,Group object (2),test_dmc31
7417,ea,2024-01-02 07:10:09+00:00,DmcGate10,Group object (2),test_dmc51
7418,aa,2024-01-02 07:09:20+00:00,DmcGate10,Group object (2),test_dmc11
7419,aa,2024-01-02 07:01:55+00:00,DmcGate10,Group object (2),test_dmc11
7420,ea,2024-01-02 06:18:28+00:00,DmcGate10,Group object (2),test_dmc51
7421,ea,2024-01-02 05:48:34+00:00,DmcGate10,Group object (2),test_dmc51
7422,da,2024-01-02 05:44:52+00:00,DmcGate10,Group object (2),test_dmc41
7423,ea,2024-01-02 05:42:47+00:00,DmcGate10,Group object (2),test_dmc51
7424,rezvi,2024-01-02 04:54:26+00:00,DmcGate10,Group object (2),1
7425,ca,2024-01-02 04:51:40+00:00,DmcGate10,Group object (2),test_dmc31
7426,rezvi,2024-01-02 03:13:14+00:00,DmcGate10,Group object (2),1
7427,rezvi,2024-01-02 03:12:10+00:00,DmcGate10,Group object (2),1
7428,da,2024-01-02 03:11:54+00:00,DmcGate10,Group object (2),test_dmc41
7429,rezvi,2024-01-02 03:11:39+00:00,DmcGate10,Group object (2),1
7430,rezvi,2024-01-02 03:11:32+00:00,DmcGate10,Group object (2),1
7431,rezvi,2024-01-02 03:11:25+00:00,DmcGate10,Group object (2),1
7432,ja,2024-01-01 14:36:53+00:00,DmcGate10,Group object (2),test_dmc91
7433,rezvi,2024-01-01 12:15:09+00:00,DmcGate10,Group object (2),1
7434,da,2024-01-01 12:14:00+00:00,DmcGate10,Group object (2),test_dmc41
7435,rezvi,2024-01-01 12:12:06+00:00,DmcGate10,Group object (2),1
7436,rezvi,2024-01-01 12:08:07+00:00,DmcGate10,Group object (2),1
7437,rezvi,2024-01-01 12:08:06+00:00,DmcGate10,Group object (2),1
7438,ca,2024-01-01 12:00:39+00:00,DmcGate10,Group object (2),test_dmc31
7439,aa,2024-01-01 11:59:57+00:00,DmcGate10,Group object (2),test_dmc11
7440,adsfgsd,2024-01-01 11:54:19+00:00,DmcGate10,Group object (2),DMC200
7441,adsfgsd,2024-01-01 11:54:19+00:00,DmcGate10,Group object (2),DMC200
7442,rezvi,2024-01-01 11:53:48+00:00,DmcGate10,Group object (2),1
7443,rezvi,2024-01-01 11:53:45+00:00,DmcGate10,Group object (2),1
7444,adsfgsd,2024-01-01 11:53:09+00:00,DmcGate10,Group object (2),DMC200
7445,adsfgsd,2024-01-01 11:53:06+00:00,DmcGate10,Group object (2),DMC200
7446,adsfgsd,2024-01-01 11:53:02+00:00,DmcGate10,Group object (2),DMC200
7447,ea,2024-01-01 11:52:09+00:00,DmcGate10,Group object (2),test_dmc51
7448,ca,2024-01-01 11:50:36+00:00,DmcGate10,Group object (2),test_dmc31
7449,ba,2024-01-01 11:49:03+00:00,DmcGate10,Group object (2),test_dmc21
7450,adsfgsd,2024-01-01 11:48:45+00:00,DmcGate10,Group object (2),DMC200
7451,rezvi,2024-01-01 11:20:10+00:00,DmcGate10,Group object (2),1
7452,Miraz,2024-01-01 11:20:08+00:00,DmcGate10,Group object (23),DMC2
7453,Miraz,2024-01-01 11:19:58+00:00,DmcGate10,Group object (23),DMC2
7454,Miraz,2024-01-01 11:19:55+00:00,DmcGate10,Group object (23),DMC2
7455,Miraz,2024-01-01 11:19:52+00:00,DmcGate10,Group object (23),DMC2
7456,aa,2024-01-01 11:11:23+00:00,DmcGate10,Group object (2),test_dmc11
7457,ca,2024-01-01 11:00:53+00:00,DmcGate10,Group object (2),test_dmc31
7458,ca,2024-01-01 10:58:56+00:00,DmcGate10,Group object (2),test_dmc31
7459,rezvi,2024-01-01 10:55:22+00:00,DmcGate10,Group object (2),1
7460,rezvi,2024-01-01 10:54:55+00:00,DmcGate10,Group object (2),1
7461,rezvi,2024-01-01 10:54:49+00:00,DmcGate10,Group object (2),1
7462,rezvi,2024-01-01 10:54:46+00:00,DmcGate10,Group object (2),1
7463,rezvi,2024-01-01 10:54:26+00:00,DmcGate10,Group object (2),1
7464,rezvi,2024-01-01 10:54:13+00:00,DmcGate10,Group object (2),1
7465,rezvi,2024-01-01 10:54:03+00:00,DmcGate10,Group object (2),1
7466,rezvi,2024-01-01 10:53:57+00:00,DmcGate10,Group object (2),1
7467,rezvi,2024-01-01 10:53:48+00:00,DmcGate10,Group object (2),1
7468,rezvi,2024-01-01 10:53:45+00:00,DmcGate10,Group object (2),1
7469,ba,2024-01-01 10:50:00+00:00,DmcGate10,Group object (2),test_dmc21
7470,ba,2024-01-01 10:44:38+00:00,DmcGate10,Group object (2),test_dmc21
7471,ea,2024-01-01 10:23:58+00:00,DmcGate10,Group object (2),test_dmc51
7472,ea,2024-01-01 10:23:55+00:00,DmcGate10,Group object (2),test_dmc51
7473,ea,2024-01-01 10:23:51+00:00,DmcGate10,Group object (2),test_dmc51
7474,ea,2024-01-01 10:16:25+00:00,DmcGate10,Group object (2),test_dmc51
7475,aa,2024-01-01 09:55:06+00:00,DmcGate10,Group object (2),test_dmc11
7476,da,2024-01-01 09:34:25+00:00,DmcGate10,Group object (2),test_dmc41
7477,Moshiur Rahman Shondhi,2024-01-01 09:23:09+00:00,DmcGate10,Group object (2),DMC24
7478,ea,2024-01-01 09:19:11+00:00,DmcGate10,Group object (2),test_dmc51
7479,da,2024-01-01 09:17:51+00:00,DmcGate10,Group object (2),test_dmc41
7480,ea,2024-01-01 09:17:09+00:00,DmcGate10,Group object (2),test_dmc51
